Team,2011,2012,2013,2014,2015
Arizona,0.5,0.313,0.625,0.5,0.813
Atlanta,0.625,0.813,0.25,0.375,0.5
Baltimore,0.75,0.625,0.5,0.625,0.313
Buffalo,0.375,0.375,0.375,0.563,0.5
Carolina,0.375,0.438,0.75,0.468,0.938
Chicago,0.5,0.625,0.5,0.313,0.375
Cincinnati,0.563,0.625,0.688,0.656,0.75
Cleveland,0.25,0.313,0.25,0.438,0.188
Dallas,0.5,0.5,0.5,0.75,0.25
Denver,0.5,0.813,0.813,0.75,0.75
Detroit,0.625,0.25,0.438,0.688,0.438
Green Bay,0.938,0.688,0.531,0.75,0.625
Houston,0.625,0.75,0.125,0.563,0.563
Indianapolis,0.125,0.688,0.688,0.688,0.5
Jacksonville,0.313,0.125,0.25,0.188,0.313
Kansas City,0.438,0.125,0.688,0.563,0.688
Miami,0.375,0.438,0.5,0.5,0.375
Minnesota,0.188,0.625,0.344,0.438,0.688
New England,0.813,0.75,0.75,0.75,0.75
New Orleans,0.813,0.438,0.688,0.438,0.438
New York Giants,0.562,0.563,0.438,0.375,0.375
New York Jets,0.5,0.375,0.5,0.25,0.625
Oakland,0.5,0.25,0.25,0.188,0.438
Philadelphia,0.5,0.25,0.625,0.625,0.438
Pittsburgh,0.75,0.5,0.5,0.688,0.625
San Diego,0.5,0.438,0.563,0.563,0.25
San Francisco,0.813,0.719,0.75,0.5,0.313
Seattle,0.438,0.688,0.813,0.75,0.625
St. Louis,0.125,0.469,0.438,0.375,0.438
Tampa Bay,0.25,0.438,0.25,0.125,0.375
Tennessee,0.563,0.375,0.438,0.125,0.188
Washington,0.313,0.625,0.188,0.25,0.563
